facility_ID,subtype_code,lat,lon,equipment_groups,ScreenFreq,OGI_RS,Scenario1_RS,Scenario2_RS,Scenario3_RS,Scenario4_RS,AltFemp_Scenario1_RS,AltFemp_Scenario2_RS,AltFemp_Scenario3_RS,AltFemp_Scenario4_RS,MGLScenario1_RS,MGLScenario2_RS,MGLScenario3_RS,MGLScenario4_RS,OperatingStatus
50248,351,50.058654,-112.40849,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53806,311,50.05993,-110.62965,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41957,351,50.062,-112.641,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53529,363,50.062236,-110.686041,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41023,311,50.0623,-113.26,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
40998,311,50.0625,-113.266,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50251,322,50.063863,-112.277431,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50334,621,50.063863,-112.277431,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5943,311,50.063877,-111.90632,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
51732,501,50.063886,-111.647989,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51863,501,50.064354,-111.731626,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5974,311,50.065096,-111.926336,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41214,311,50.0651,-113.276,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41967,311,50.0654,-112.883,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5818,311,50.065864,-112.267729,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41849,311,50.066146,-112.732872,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41768,311,50.066431,-112.728891,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41538,311,50.067,-112.603,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50386,361,50.067793,-112.430097,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5980,311,50.067902,-112.063717,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
41737,311,50.069,-112.616,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53406,601,50.06908,-110.687864,5,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
53555,621,50.06908,-110.687864,1,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
41694,311,50.0692,-112.718,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41751,322,50.0692,-112.703,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41954,311,50.0692,-112.622,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41956,311,50.0692,-112.713,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41630,311,50.069252,-112.712457,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41771,501,50.069403,-112.73348,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6218,311,50.069425,-111.867865,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41186,311,50.0696,-113.29,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41726,311,50.0703,-112.728,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50404,601,50.071455,-112.378844,3,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
50352,501,50.071504,-112.469937,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50389,311,50.071567,-112.37893,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41041,311,50.0716,-113.545,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50210,361,50.071657,-112.498537,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41086,311,50.0724,-113.289,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41937,311,50.072503,-112.638416,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41754,501,50.072708,-112.774753,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41970,322,50.072708,-112.774753,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49970,351,50.0728,-112.326,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51815,322,50.073068,-111.669539,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41703,501,50.073482,-112.808429,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
42043,322,50.073661,-112.808058,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41108,311,50.0737,-113.305,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
